"","Year","SEO_harvest_mt","var"
"111",1888,90.9266603982692,124.032883341208
"211",1889,80.0138575056727,96.0472148473125
"311",1890,85.4702589519709,109.593399452858
"411",1891,132.749716891865,264.375719116211
"511",1892,170.940517903942,438.373597811433
"611",1893,198.218516023423,589.444337203741
"710",1894,232.769043329961,812.839504124284
"88",1895,263.68330604297,1043.08482997299
"91",1896,334.604497508816,1679.64656909053
"101",1897,407.345825827431,2489.32098138062
"112",1898,480.083145034036,3457.69973450325
"121",1899,552.824473352651,4584.8895780316
"131",1900,829.236710028977,10316.0015505711
"141",1901,1105.6489467053,18339.5583121264
"151",1902,1382.06118338163,28655.5598626975
"161",1903,1558.45409361986,36436.981074552
"171",1904,1736.66714071086,45246.7649151301
"181",1905,1360.23958670845,27757.8087149898
"191",1906,2225.84696089673,74326.7187512015
"201",1907,3091.450325973,143376.806871138
"212",1908,3129.64112698508,146941.151693458
"221",1909,3167.82791888515,150548.877931236
"231",1910,3206.01871989723,154200.743112289
"241",1911,3520.61774847362,185948.25493954
"251",1912,3710.9290356452,203446.503199743
"261",1913,3800.43222352253,208019.512992097
"271",1914,3519.69007449283,249037.721098568
"281",1915,3543.11914609547,265245.638225493
"291",1916,2526.61759283825,150306.737320132
"301",1917,2501.19023568073,135943.938861289
"312",1918,2007.04435522558,73127.1289395919
"321",1919,2099.99729550547,87817.8606340258
"331",1920,2480.72073751672,112506.575202975
"341",1921,2377.90521285602,113507.110228344
"351",1922,2086.18993650465,80525.2887846605
"361",1923,2528.1905545465,179162.96462164
"371",1924,2667.03901303144,222905.086481436
"381",1925,2233.31089884411,170911.371598236
"391",1926,2043.69665667217,150667.275888783
"401",1927,2145.85328092442,172394.242419749
"412",1928,2172.13414082247,172560.535788092
"41",1929,4326.11414947105,164547.489514914
"42",1930,3634.88806764045,109415.798536748
"43",1931,3290.38609011648,89219.3251210607
"44",1932,3393.38779683512,114776.710213928
"45",1933,3620.53361604109,173776.729676871
"46",1934,3455.77983016752,150721.662816419
"47",1935,3758.60556006555,242948.58012774
"48",1936,3967.10526670774,279362.609812322
"49",1937,3244.98195566592,204399.624693386
"50",1938,3089.20064708876,210307.362620392
"51",1939,3049.6683979828,216244.907127385
"52",1940,2963.05956470114,150313.541163803
"53",1941,2616.93410159559,123653.722464701
"54",1942,3171.50247167534,99594.3477047897
"55",1943,2679.03954172661,103843.829496179
"56",1944,3487.85463532109,58426.2795142179
"57",1945,2448.21605048798,45877.0125891279
"58",1946,3545.27262884774,124848.537000865
"59",1947,3646.8185123945,203027.996035607
"60",1948,3206.76754188867,88348.6430535489
"61",1949,3616.87634527292,127672.699354436
"62",1950,3148.21421272627,149408.585115523
"63",1951,3474.25642566119,138544.621227266
"64",1952,3792.43506941056,291981.240990071
"65",1953,3140.48932618857,232350.962810713
"66",1954,3470.79116041355,279424.391779251
"67",1955,2742.92115360471,174459.545245909
"68",1956,3540.3726364974,119860.827476612
"69",1957,3596.97666108639,94245.7931040843
"70",1958,3837.58001368308,146262.756243884
"71",1959,4854.7134740825,236538.911962587
"72",1960,4279.61872618349,99815.7914334519
"73",1961,4046.99411884686,120630.917886764
"74",1962,4678.01176314195,105773.654416936
"75",1963,3683.6402068501,93029.7310906551
"76",1964,2954.35012586454,98270.8494841794
"77",1965,4400.57294509753,142355.488281803
"78",1966,4587.86561077859,187231.963621673
"79",1967,2685.57243192151,79348.9617152523
"80",1968,2120.43513050063,40581.6535290775
"81",1969,3189.11803691646,165687.373464859
"82",1970,2892.25859568658,104145.372218064
"83",1971,2242.75271748798,69501.2836886433
"84",1972,2165.23436496421,57834.4821129437
"85",1973,1855.56476316272,43651.5092638727
"86",1974,1895.62480488777,25548.2897654342
"87",1975,2256.90677219862,57553.7326142697
"110",1976,1754.57706977697,34559.0207092368
"210",1977,1236.30747614993,21166.494339167
"310",1978,1732.74196703138,30081.3572193568
"410",1979,1505.7310163375,36462.6380686564
"510",1980,1022.36915004332,40626.6893865877
"610",1981,1175.55066418343,57415.846446532
"1",1982,781.397728217387,0
"2",1983,1261.34246505122,0
"3",1984,1357.7095211774,0
"4",1985,1713.44098578992,0
"5",1986,2238.38972122672,0
"6",1987,1945.97388486576,0
"7",1988,2380.97603355812,0
"8",1989,2283.3188631916,0
"9",1990,2646.02990922948,0
"10",1991,2075.51902049315,0
"11",1992,2360.03528591107,0
"12",1993,2988.74046998017,0
"13",1994,3105.99536914768,0
"14",1995,1827.7565946781,0
"15",1996,2259.38834822782,0
"16",1997,2740.98230364738,0
"17",1998,3697.71406303917,0
"18",1999,2606.36046722322,0
"19",2000,2297.95981680845,0
"20",2001,2601.28670328564,0
"21",2002,2795.90314858496,0
"22",2003,2681.01106186929,0
"23",2004,3194.49379034815,0
"24",2005,3250.43145470186,0
"25",2006,3031.91891547878,0
"26",2007,3060.11341816067,0
"27",2008,2484.96745950044,0
"28",2009,2032.02230359206,0
"29",2010,1938.49050833019,0
"30",2011,1288.81416707862,0
"31",2012,1216.6897856924,0
"32",2013,1224.22513470624,0
"33",2014,1050.15878035315,0
"34",2015,1112.67944228018,0
"35",2016,1161.42802740958,0
"36",2017,1347.93780980829,0
"37",2018,1147.68989628967,0
"38",2019,1171.864368829,0
"39",2020,1092.81429377946,0
"40",2021,1345.51089470224,0
