"","Year","Biomass","Biom.var_noVov","Biomass.CS","Biomass.EY","Biomass.NS","Biomass.SS","var.BiomassCS","var.BiomassEY","var.BiomassNS","var.BiomassSS","var.Biomass","Biomass.cv","Biomass_mt","Biomass_mt_lo90","Biomass_mt_hi90"
"1",1995,27951905.7728689,12482827546162.3,15267750.6242889,6938319.4618197,1181987.93944316,4563847.74731707,8518736362192.07,1934533524560.21,158263727731.433,1871293931678.55,19382000721188.8,0.157502655019536,27951.9057728689,20555.7068277699,35348.1047179678
"2",1996,27348827.5528936,12598229946824.7,15170375.5885,6943230.49879656,1181987.93944316,4053233.52615385,8911219421372.68,2122623901253.82,158406527782.749,1405980096415.46,19497403121851.3,0.161454321077751,27348.8275528936,19930.6424263877,34767.0126793994
"3",1997,20414514.4006025,6896507092404.72,8149427.06990888,7257238.27676768,1181987.93944316,3825861.11448276,1322349431243.08,4144489025108.33,158591712713.548,1271076923339.76,13795680267431.3,0.181941808134612,20414.5144006025,14174.5682480465,26654.4605531584
"4",1998,20972576.8485315,7872348083684.33,8268081.66565878,7736076.46033097,1181987.93944316,3786430.78309859,1490560399307.23,4974476040603.4,157864681640.841,1249446962132.86,14771521258710.9,0.183257103295236,20972.5768485315,14515.7090629418,27429.4446341212
"5",1999,22016025.3608539,4789078480358.37,8607610.9156621,4628882.54477306,1181987.93944316,7597543.96097561,1594436666153.66,697586521698.483,158568583734.281,2338486708771.95,11688251655384.9,0.155287271792339,22016.0253608539,16272.4270573374,27759.6236643705
"6",2000,22837001.7308168,5604824270115.68,8595523.86396396,4337794.47876923,1181987.93944316,8721695.44864041,1560902103844.25,660513193435.669,158649839770.874,3224759133064.88,12503997445142.2,0.154840781050725,22837.0017308168,16896.355100258,28777.6483613755
"7",2001,23703807.5842884,5950628051335.7,8879070.74411439,5035790.72930233,1181987.93944316,8606958.17142857,1738932177650.63,973955424454.549,158138231374.591,3079602217855.93,12849801226362.2,0.151227262859395,23703.8075842884,17681.5755245547,29726.0396440222
"8",2002,23335845.9326585,5966948064079.52,8532013.43431818,5035790.72930233,1181987.93944316,8586053.82959488,1628845128613.21,979460866302.771,158680392675.866,3199961676487.67,12866121239106.1,0.153709344645556,23335.8459326585,17309.7907897601,29361.901075557
"9",2003,31144971.1352431,8481743186675.88,9245545.72192308,12160290.1133721,1181987.93944316,8557147.36050473,885456801039.115,4322228162094.73,158733265037.673,3115324958504.36,15380916361702.4,0.125922452219854,31144.9711352431,24556.2612206036,37733.6810498826
"10",2004,29426557.8088954,7798903458878.51,9200271.84811232,10878940.511669,1181987.93944316,8165357.50967089,1013386937919.16,3730739786531.59,158401682729.53,2896375051698.23,14698076633905.1,0.130283911995454,29426.5578088954,22985.7619348179,35867.3536829729
