"","Year","Biomass","Biom.var_noVov","Biomass.CS","Biomass.EY","Biomass.NS","Biomass.SS","var.BiomassCS","var.BiomassEY","var.BiomassNS","var.BiomassSS","var.Biomass","Biomass.cv","Biomass_mt","Biomass_mt_lo90","Biomass_mt_hi90","Bio.CSEO.mt","Bio.EYKT.mt","Bio.NSEO.mt","Bio.SSEO.mt","Bio.CSEO.cv","Bio.EYKT.cv","Bio.NSEO.cv","Bio.SSEO.cv","Bio.CSEO.lo90","Bio.EYKT.lo90","Bio.NSEO.lo90","Bio.SSEO.lo90"
"1",1995,27838514.3040943,12477490820825,15267750.6242889,6888990.9594,1122842.91283784,4558929.80756757,8519853761427.07,1918250763024.46,152343067247.481,1887043229126.01,18400283354670.1,0.154087071587956,27838.5143040943,20632.0616580124,35044.9669501763,15267.7506242889,6888.9909594,1122.84291283784,4558.92980756757,0.191179363963377,0.201046758351422,0.347610067101244,0.301320041849125,10364.0341504039,4562.17533422463,467.119592374634,2251.11898128972
"2",1996,27289682.5262882,12558873664246.5,15170375.5885,6943230.49879656,1122842.91283784,4053233.52615385,8881184536588.33,2120429894736.1,153097693105.712,1404161539816.4,18481666198091.7,0.157533193722886,27289.6825262882,20067.3107082846,34512.0543442919,15170.3755885,6943.23049879656,1122.84291283784,4053.23352615385,0.19644415613597,0.209725083602479,0.348469940508615,0.292352566315893,10163.7544488423,4496.86557611982,465.497547735474,2062.47851109604
"3",1997,20355369.3739972,6895563691123.08,8149427.06990888,7257238.27676768,1122842.91283784,3825861.11448276,1322943235418.95,4145778071832.53,153779813842.29,1273062570029.31,12818356224968.2,0.175888392864368,20355.3693739972,14340.5103890042,26370.2283589901,8149.42706990888,7257.23827676768,1122.84291283784,3825.86111448276,0.141137859758836,0.28056380483864,0.349245374781038,0.29491419336275,6217.10334246401,3836.55939240274,464.034787061843,1930.31586373016
"4",1998,21253885.2045027,8528937378373.05,8608535.04823529,7736076.46033097,1122842.91283784,3786430.78309859,2172597174043.07,4953696638500.9,152502011692.547,1250141554136.52,14451729912218.2,0.178863443535884,21253.8852045027,14867.2928028972,27640.4776061081,8608.53504823529,7736.07646033097,1122.84291283784,3786.43078309859,0.171222310498494,0.287702708242463,0.347791356235427,0.295290566747703,6132.25996981223,3996.91701033356,466.777612885887,1908.02733271981
"5",1999,21748497.9648602,4726211724565.76,8607610.9156621,4420500.17538462,1122842.91283784,7597543.96097561,1598137167158.79,638846693927.495,152213748924.461,2337014114555.02,10649004258410.9,0.150046279780453,21748.4979648602,16266.1855313209,27230.8103983994,8607.6109156621,4420.50017538462,1122.84291283784,7597.54396097561,0.146867059009369,0.180811859962688,0.347462499196128,0.201213653149485,6483.7977551913,3077.71169280779,467.397960943021,5029.27827438474
"6",2000,22546268.7029334,6026884053316.43,8529347.25591667,4172383.08553846,1122842.91283784,8721695.44864041,1968996485721.82,699990500485.06,152347511766.005,3205549555343.54,11949676587161.6,0.153321619224021,22546.2687029334,16738.7935889441,28353.7438169227,8529.34725591667,4172.38308553846,1122.84291283784,8721.69544864041,0.164515444143901,0.200521939696442,0.347615137722908,0.205281744643061,6171.95554444798,2766.80377843088,467.110027275147,5713.81528729727
"7",2001,23236073.249241,5929139476393.91,8879070.74411439,5035790.72930233,1122842.91283784,8198368.86298643,1754135251026.8,983389082860.625,152956201976.878,3038658940529.61,11851932010239,0.148160296634542,23236.073249241,17452.3985604554,29019.7479380265,8879.07074411439,5035.79072930233,1122.84291283784,8198.36886298643,0.149164000314465,0.196922353399655,0.348308877329327,0.212624607278409,6654.01538918543,3369.80232974313,465.801373466437,5269.8349304955
"8",2002,23276700.9060532,6003038192039.4,8532013.43431818,5035790.72930233,1122842.91283784,8586053.82959488,1659404765922.57,982333153737.022,152935064179.914,3208365208199.9,11925830725884.5,0.148362073441236,23276.7009060532,17475.0231624401,29078.3786496664,8532.01343431818,5035.79072930233,1122.84291283784,8586.05382959488,0.150981812939841,0.196816600803716,0.348284809208463,0.208616325760618,6367.87295566624,3370.69701028607,465.846774994252,5576.85294503709
"9",2003,31003661.660133,8829501912771.93,9245545.72192308,12160290.1133721,1122842.91283784,8474982.912,885344045029.586,4322659898852.45,151808939624.037,3469689029265.86,14752294446617.1,0.12388445003462,31003.661660133,24550.997416107,37456.325904159,9245.54572192308,12160.2901133721,1122.84291283784,8474.982912,0.10177086940171,0.170974600396055,0.347000156948006,0.21978924908435,7664.78798188462,8667.40086541115,468.270112306926,5345.62989321162
"10",2004,29266854.7309114,8105887601011.63,9099713.79673367,10878940.511669,1122842.91283784,8165357.50967089,1348221852123.83,3716085909112.76,153719563656.235,2887860276118.8,14028680134856.8,0.127977126501282,29266.8547309114,22974.434940988,35559.2745208348,9099.71379673367,10878.940511669,1122.84291283784,8165.35750967089,0.127600667960866,0.177196961624179,0.349176951755494,0.20811955274506,7149.01613809092,7640.37896834769,464.163858621478,5310.41498077163
"11",2005,29992877.3705683,8517771587823.15,9099713.79673367,11670258.518617,1122842.91283784,8100062.14237975,1338909141612.81,4880020313797.34,152304226651.975,2146537905761.03,14440564121668.3,0.126699221913912,29992.8773705683,23608.7526712069,36377.0020699297,9099.71379673367,11670.258518617,1122.84291283784,8100.06214237975,0.127159209743826,0.189291162464021,0.347565751849738,0.180875993804719,7155.76493905042,7959.00949252599,467.203187605654,5638.68273537644
"12",2006,29992877.3705683,8694131688448.97,9099713.79673367,11670258.518617,1122842.91283784,8100062.14237975,1360739471344.24,4826095995444.38,152702983618.081,2354593238042.26,14616924222294.1,0.127470551823055,29992.8773705683,23569.8868735332,36415.8678676034,9099.71379673367,11670.258518617,1122.84291283784,8100.06214237975,0.128191656096479,0.188242421771416,0.348020445953818,0.189439088542702,7139.98139563346,7979.57113852883,466.345463517832,5522.15524820174
"13",2007,26049504.3652919,7716559399265.53,5156340.79145729,11670258.518617,1122842.91283784,8100062.14237975,403357129622.965,4816970063670.12,153532590653.279,2342699615319.16,13639351933110.7,0.141774264597075,26049.5043652919,19845.0135001192,32253.9952304646,5156.34079145729,11670.258518617,1122.84291283784,8100.06214237975,0.123169521999761,0.188064358552141,0.348964530752539,0.188960031378824,4089.3660201305,7983.06225211553,464.564564523225,5528.67430810099
"14",2008,26637809.9794853,8031453595982.79,5595254.01804124,10398398.5387774,1360770.372,9283387.05066667,580941082783.376,3560980163607.57,235128548646.086,3654403800945.75,13954246129827.9,0.14023443623745,26637.8099794853,20362.1056941619,32913.5142648087,5595.25401804124,10398.3985387774,1360.770372,9283.38705066667,0.136221681593698,0.181475632457691,0.356342675735039,0.205921555029008,4314.76656708836,7228.14454047282,546.137438895333,6071.81589501881
"15",2009,21838239.0674683,5017437902258.16,6230595.2254025,5685716.04233577,1132125.75737705,8789802.04235294,674525034669.914,942907187073.465,151357954751.021,3248647725763.76,10940230436103.3,0.151459186154588,21838.2390674683,16281.4678482387,27395.0102866978,6230.5952254025,5685.71604233577,1132.12575737705,8789.80204235294,0.131816415765235,0.170784835908752,0.343643357855989,0.205055874595764,4850.8200778323,4054.37878572812,478.525962786139,5761.76912621817
"16",2010,21903170.5250712,4779337285593.05,6129598.5742268,6041789.43307692,1325626.86976744,8406155.648,654566555675.778,1442057737057.96,220819354887.257,2461893637972.06,10702129819438.2,0.14935787397612,21903.1705250712,16407.2000736966,27399.1409764457,6129.5985742268,6041.78943307692,1325.62686976744,8406.155648,0.131991168084023,0.198758513129542,0.354484516127591,0.186653963291632,4770.38974305357,4024.34953135188,536.171014615431,5770.1646381875
"17",2011,21713936.0392102,5044211487311.73,5614382.45284698,6203977.97817048,1160913,8734662.60819277,543205314620.052,1335018618458.34,161641178106.16,3004346376127.17,10967004021156.8,0.152512502454789,21713.9360392102,16150.3695437585,27277.502534662,5614.38245284697,6203.97797817048,1160.913,8734.66260819277,0.131274390827933,0.186240193285901,0.346319008199873,0.198439839283436,4376.18106374113,4262.85548107329,485.47531887255,5822.71013399589
