"","X","Subdistrict","Year","Density","CV","Area_km2","YE_abund","var.Dens","var.Abund","mean.YE.kg_rand","var.YE.kg_rand","bootvar.YE.kg_rand","N.wts_rand","wt_yrs_rand","mean.YE.kg_dir","var.YE.kg_dir","bootvar.YE.kg_dir","N.wts_dir","wt_yrs_dir","mean.YE.kg_hal","var.YE.kg_hal","bootvar.YE.kg_hal","N.wts_hal","wt_yrs_hal","Biomass.kg","var.Biomass.kg","Biomass.cv","Biomass.mt"
"1",1,"CSEO",1994,1683,0.1,1661,2795463,28324.89,78146133843.69,2.29161616161616,1.17068715728716,0.0119760440991548,99,"1992-1994",2.29161616161616,1.17068715728716,0.0123508880208032,99,"1992-1994",3.20819587628866,1.52965823543515,0.00382737878275768,388,"1994-2008",6406128.19,504908819921.265,0.110920253564576,6406.12819
"2",2,"EYKT",1994,NA,1,739,NA,NA,NA,3.4598,1.19696421686747,0.00459878458688929,250,"1980-1995",3.4598,1.19696421686747,0.00457927098294294,250,"1980-1995",4.23607692307692,2.63936524502525,0.00979054239256416,260,"1994-2010",NA,NA,NA,NA
"3",3,"NSEO",1994,765,0.33,442,338130,63731.0025,12450743572.41,3.32074324324324,1.81991168872955,0.0115417390469313,148,"1988-1994",3.32074324324324,1.81991168872955,0.0129073019079662,148,"1988-1994",4.0244,1.85850973737374,0.017579311678038,100,"1994-2008",1122842.91283784,138761821084.53,0.331753866575414,1122.84291283784
"4",4,"SSEO",1994,1173,0.29,1056,1238688,115715.6289,129038663549.03,3.89532467532468,2.78452785372522,0.0347192217685724,77,"1993-1994",3.89532467532468,2.78452785372522,0.0376700874140459,77,"1993-1994",4.44604938271605,1.29050419753086,0.0163440868206112,81,"1994-2009",4825091.93142857,2015726660657.13,0.294245769627309,4825.09193142857
"5",5,"CSEO",1995,2929,0.19,1661,4865069,309703.3801,854447159128.872,3.13823927765237,1.83334847655332,0.00402434285604643,443,"1995-1995",3.13823927765237,1.83334847655332,0.00400237719944618,443,"1995-1995",3.20819587628866,1.52965823543515,0.00394499847558261,388,"1995-2008",15267750.6242889,8513752291786.64,0.19111089541717,15267.7506242889
"6",6,"EYKT",1995,2711,0.2,739,2003429,293980.84,160549110321.64,3.4386,0.952512603015075,0.00448216797133133,200,"1995-1995",3.4386,0.952512603015075,0.00461117815194194,200,"1995-1995",4.23607692307692,2.63936524502525,0.0105146370707379,260,"1995-2010",6888990.9594,1917037667630.64,0.200983177647578,6888.9909594
"7",7,"NSEO",1995,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0117528005149735,148,"1988-1995",3.32074324324324,1.81991168872955,0.0122376097499801,148,"1988-1995",4.0244,1.85850973737374,0.0179022309041441,100,"1995-2008",NA,NA,NA,NA
"8",8,"SSEO",1995,NA,1,1056,NA,NA,NA,3.68045045045045,1.39075364233011,0.00603666530576514,222,"1995-1995",3.68045045045045,1.39075364233011,0.00662499570203878,222,"1995-1995",4.44604938271605,1.29050419753086,0.0154964175716488,81,"1995-2009",NA,NA,NA,NA
"9",9,"CSEO",1996,NA,1,1661,NA,NA,NA,3.11822413793103,1.50660150407957,0.00247316273784813,580,"1996-1996",3.11822413793103,1.50660150407957,0.00250539650289975,580,"1996-1996",3.20819587628866,1.52965823543515,0.00390668298094034,388,"1996-2008",NA,NA,NA,NA
"10",10,"EYKT",1996,NA,1,739,NA,NA,NA,3.46567335243553,1.40786369759246,0.00397360913495083,349,"1996-1996",3.46567335243553,1.40786369759246,0.00380214098382995,349,"1996-1996",4.23607692307692,2.63936524502525,0.0104338216658537,260,"1996-2010",NA,NA,NA,NA
"11",11,"NSEO",1996,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0115340880498788,148,"1988-1996",3.32074324324324,1.81991168872955,0.0122620346017127,148,"1988-1996",4.0244,1.85850973737374,0.01849772646002,100,"1996-2008",NA,NA,NA,NA
"12",12,"SSEO",1996,NA,1,1056,NA,NA,NA,3.27219891219891,1.82284173956336,0.00157884004874681,1287,"1996-1996",3.30193717277487,1.86618733736715,0.0013720183786346,1337,"1996-1996",4.44604938271605,1.29050419753086,0.0167308007976884,81,"1996-2009",NA,NA,NA,NA
"13",13,"CSEO",1997,1631,0.14,1661,2709091,52139.1556,143847811307.108,3.00817767653759,1.27873639758272,0.00283739869279151,439,"1997-1997",2.7225918762089,1.57766885055403,0.00321491512567531,517,"1997-1997",3.20819587628866,1.52965823543515,0.00358060259871347,388,"1997-2008",8149427.06990888,1322930283165.02,0.141137168853201,8149.42706990888
"14",14,"EYKT",1997,2576,0.28,739,1903664,520244.8384,284116631391.846,3.81224747474747,1.69798151834804,0.00413119758616833,396,"1997-1997",3.80352644836272,1.72388803780882,0.00424731115268458,397,"1997-1997",4.23607692307692,2.63936524502525,0.0102135705138037,260,"1997-2010",7257238.27676768,4145277520792.29,0.280546867035751,7257.23827676768
"15",15,"NSEO",1997,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0113097922250044,148,"1988-1997",3.32074324324324,1.81991168872955,0.0118466980468233,148,"1988-1997",4.0244,1.85850973737374,0.0181838466426326,100,"1997-2008",NA,NA,NA,NA
"16",16,"SSEO",1997,NA,1,1056,NA,NA,NA,3.0886398467433,1.43365361668174,0.00264092409470252,522,"1997-1997",3.0886398467433,1.43365361668174,0.00261700320290637,522,"1997-1997",4.44604938271605,1.29050419753086,0.0156265136160547,81,"1997-2009",NA,NA,NA,NA
"17",17,"CSEO",1998,NA,1,1661,NA,NA,NA,3.17764705882353,1.51120495356037,0.00990873024948995,153,"1998-1998",2.7948128342246,1.91726380886666,0.0104419382600737,187,"1998-1998",3.20819587628866,1.52965823543515,0.00407538859129549,388,"1998-2008",NA,NA,NA,NA
"18",18,"EYKT",1998,NA,1,739,NA,NA,NA,4.06378250591017,1.84865769666006,0.00441952689506009,423,"1998-1998",4.03908450704225,1.92203421872411,0.00423391718353501,426,"1998-1998",4.23607692307692,2.63936524502525,0.0098130891156704,260,"1998-2010",NA,NA,NA,NA
"19",19,"NSEO",1998,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0115767376480023,148,"1988-1998",3.32074324324324,1.81991168872955,0.0124557562339366,148,"1988-1998",4.0244,1.85850973737374,0.0183273454944545,100,"1998-2008",NA,NA,NA,NA
