"","X","Subdistrict","Year","Density","CV","Area_km2","YE_abund","var.Dens","var.Abund","mean.YE.kg_rand","var.YE.kg_rand","bootvar.YE.kg_rand","N.wts_rand","wt_yrs_rand","mean.YE.kg_dir","var.YE.kg_dir","bootvar.YE.kg_dir","N.wts_dir","wt_yrs_dir","mean.YE.kg_hal","var.YE.kg_hal","bootvar.YE.kg_hal","N.wts_hal","wt_yrs_hal","Biomass.kg","var.Biomass.kg","Biomass.cv","Biomass.mt"
"1",1,"CSEO",1994,1683,0.1,1661,2795463,28324.89,78146133843.69,2.29161616161616,1.17068715728716,0.0121035423133673,99,"1992-1994",2.29161616161616,1.17068715728716,0.0119731588832379,99,"1992-1994",3.20819587628866,1.52965823543515,0.0039997066323943,388,"1994-2008",6406128.19,505915132665.047,0.111030733812824,6406.12819
"2",2,"EYKT",1994,NA,1,739,NA,NA,NA,3.4598,1.19696421686747,0.00436123922725766,250,"1980-1995",3.4598,1.19696421686747,0.004564242622597,250,"1980-1995",4.23607692307692,2.63936524502525,0.00932353099970385,260,"1994-2010",NA,NA,NA,NA
"3",3,"NSEO",1994,765,0.33,442,338130,63731.0025,12450743572.41,3.32074324324324,1.81991168872955,0.012583459756867,148,"1988-1994",3.32074324324324,1.81991168872955,0.0126635686258026,148,"1988-1994",4.0244,1.85850973737374,0.018191852548989,100,"1994-2008",1122842.91283784,138893893186.77,0.331911709018782,1122.84291283784
"4",4,"SSEO",1994,1173,0.29,1056,1238688,115715.6289,129038663549.03,3.89532467532468,2.78452785372522,0.0345546805656052,77,"1993-1994",3.89532467532468,2.78452785372522,0.0364190117538014,77,"1993-1994",4.44604938271605,1.29050419753086,0.0153337166528516,81,"1994-2009",4825091.93142857,2015452965020.87,0.294225792584138,4825.09193142857
"5",5,"CSEO",1995,2929,0.19,1661,4865069,309703.3801,854447159128.872,3.13823927765237,1.83334847655332,0.00428185952055271,443,"1995-1995",3.13823927765237,1.83334847655332,0.00418831279758171,443,"1995-1995",3.20819587628866,1.52965823543515,0.00373799115831476,388,"1995-2008",15267750.6242889,8520067461416.03,0.191181761585034,15267.7506242889
"6",6,"EYKT",1995,2711,0.2,739,2003429,293980.84,160549110321.64,3.4386,0.952512603015075,0.00508705519935936,200,"1995-1995",3.4386,0.952512603015075,0.00521541852045796,200,"1995-1995",4.23607692307692,2.63936524502525,0.0104527917005763,260,"1995-2010",6888990.9594,1919562634394.57,0.201115493475448,6888.9909594
"7",7,"NSEO",1995,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0126260807322845,148,"1988-1995",3.32074324324324,1.81991168872955,0.0119490763418459,148,"1988-1995",4.0244,1.85850973737374,0.0186654345484585,100,"1995-2008",NA,NA,NA,NA
"8",8,"SSEO",1995,NA,1,1056,NA,NA,NA,3.68045045045045,1.39075364233011,0.00605429219242577,222,"1995-1995",3.68045045045045,1.39075364233011,0.0067309476668272,222,"1995-1995",4.44604938271605,1.29050419753086,0.0144366718347062,81,"1995-2009",NA,NA,NA,NA
"9",9,"CSEO",1996,NA,1,1661,NA,NA,NA,3.11822413793103,1.50660150407957,0.00260396114954878,580,"1996-1996",3.11822413793103,1.50660150407957,0.00267368468918859,580,"1996-1996",3.20819587628866,1.52965823543515,0.0041306279933982,388,"1996-2008",NA,NA,NA,NA
"10",10,"EYKT",1996,NA,1,739,NA,NA,NA,3.46567335243553,1.40786369759246,0.00411140428877741,349,"1996-1996",3.46567335243553,1.40786369759246,0.00424400026062302,349,"1996-1996",4.23607692307692,2.63936524502525,0.00968761168176312,260,"1996-2010",NA,NA,NA,NA
"11",11,"NSEO",1996,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0129414168837208,148,"1988-1996",3.32074324324324,1.81991168872955,0.0119379472017626,148,"1988-1996",4.0244,1.85850973737374,0.0180443132798398,100,"1996-2008",NA,NA,NA,NA
"12",12,"SSEO",1996,NA,1,1056,NA,NA,NA,3.27219891219891,1.82284173956336,0.0014088003909167,1287,"1996-1996",3.30193717277487,1.86618733736715,0.00136283765177257,1337,"1996-1996",4.44604938271605,1.29050419753086,0.0165601234111874,81,"1996-2009",NA,NA,NA,NA
"13",13,"CSEO",1997,1631,0.14,1661,2709091,52139.1556,143847811307.108,3.00817767653759,1.27873639758272,0.00286232096117994,439,"1997-1997",2.7225918762089,1.57766885055403,0.00300686698608713,517,"1997-1997",3.20819587628866,1.52965823543515,0.00409570139199674,388,"1997-2008",8149427.06990888,1323116777044.11,0.141147116577157,8149.42706990888
"14",14,"EYKT",1997,2576,0.28,739,1903664,520244.8384,284116631391.846,3.81224747474747,1.69798151834804,0.00451475995720685,396,"1997-1997",3.80352644836272,1.72388803780882,0.00432680639474312,397,"1997-1997",4.23607692307692,2.63936524502525,0.0102548142480928,260,"1997-2010",7257238.27676768,4146776502965.42,0.280597587010417,7257.23827676768
"15",15,"NSEO",1997,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0128165539097854,148,"1988-1997",3.32074324324324,1.81991168872955,0.0117473404198163,148,"1988-1997",4.0244,1.85850973737374,0.0177117106946847,100,"1997-2008",NA,NA,NA,NA
"16",16,"SSEO",1997,NA,1,1056,NA,NA,NA,3.0886398467433,1.43365361668174,0.00265382243021599,522,"1997-1997",3.0886398467433,1.43365361668174,0.0029890834342791,522,"1997-1997",4.44604938271605,1.29050419753086,0.0150288667587874,81,"1997-2009",NA,NA,NA,NA
"17",17,"CSEO",1998,NA,1,1661,NA,NA,NA,3.17764705882353,1.51120495356037,0.0100264666241319,153,"1998-1998",2.7948128342246,1.91726380886666,0.0101373385592519,187,"1998-1998",3.20819587628866,1.52965823543515,0.00369563788274405,388,"1998-2008",NA,NA,NA,NA
"18",18,"EYKT",1998,NA,1,739,NA,NA,NA,4.06378250591017,1.84865769666006,0.00408772546954681,423,"1998-1998",4.03908450704225,1.92203421872411,0.00504973576466325,426,"1998-1998",4.23607692307692,2.63936524502525,0.0102820807838075,260,"1998-2010",NA,NA,NA,NA
"19",19,"NSEO",1998,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.01261125930978,148,"1988-1998",3.32074324324324,1.81991168872955,0.0119361673981094,148,"1988-1998",4.0244,1.85850973737374,0.0210310261525125,100,"1998-2008",NA,NA,NA,NA
"20",20,"SSEO",1998,NA,1,1056,NA,NA,NA,3.05680751173709,1.30608013697874,0.00300976253743605,426,"1998-1998",3.02368055555556,1.36611658449343,0.00324106501584747,432,"1998-1998",4.44604938271605,1.29050419753086,0.0160570514614447,81,"1998-2009",NA,NA,NA,NA
"21",21,"CSEO",1999,NA,1,1661,NA,NA,NA,3.17730593607306,1.29176331022386,0.00199952536498908,657,"1999-1999",3.05347083926031,1.43202867685499,0.00191800075262461,703,"1999-1999",3.20819587628866,1.52965823543515,0.00413625664746942,388,"1999-2008",NA,NA,NA,NA
"22",22,"EYKT",1999,1584,0.18,739,1170576,81293.4144,44396040765.5424,3.77634615384615,1.06401941639442,0.00416663936120144,260,"1999-1999",3.77634615384615,1.06401941639442,0.00380294998630435,260,"1999-1999",4.23607692307692,2.63936524502525,0.010545735871635,260,"1999-2010",4420500.17538462,639016938596.715,0.180835950409648,4420.50017538462
"23",23,"NSEO",1999,NA,1,442,NA,NA,NA,3.32074324324324,1.81991168872955,0.0124246333050362,148,"1988-1999",3.32074324324324,1.81991168872955,0.0124149315379614,148,"1988-1999",4.0244,1.85850973737374,0.0189145441088188,100,"1999-2008",NA,NA,NA,NA
"24",24,"SSEO",1999,2376,0.2,1056,2509056,225815.04,251814480445.44,3.0280487804878,1.53820963675692,0.00439265888817041,328,"1999-1999",3.0280487804878,1.53820963675692,0.00495056388053636,328,"1999-1999",4.44604938271605,1.29050419753086,0.0160564816504357,81,"1999-2009",7597543.96097561,2337666482566.44,0.201241735177464,7597.54396097561
"25",25,"CSEO",2000,NA,1,1661,NA,NA,NA,3.14841666666667,0.866835287114846,0.00715544617781671,120,"2000-2000",3.14841666666667,0.866835287114846,0.00726508458652402,120,"2000-2000",3.20819587628866,1.52965823543515,0.00405380672372806,388,"2000-2008",NA,NA,NA,NA
"26",26,"EYKT",2000,NA,1,739,NA,NA,NA,3.56438461538462,1.01196899821109,0.00771244465364181,130,"2000-2000",3.56438461538462,1.01196899821109,0.00750981527731282,130,"2000-2000",4.23607692307692,2.63936524502525,0.0107797355595773,260,"2000-2010",NA,NA,NA,NA
