Year,Project,Project Code,Trip Number,ADFG Number,Vessel Name,Sample Date,Project Code,Groundfish Stat Area,Groundfish Stat Area Group,Groundfish Management Area Code,Sample Type Code,Sample Type,Specimen Number,Length Millimeters,Weight Kilograms,Age,Girth Millimeters,Species Code,Species,Length Type Code,Length Type,Age Readability Code,Age Readability,Sex Code,Maturity Code,Maturity
2020,Commercial Halibut Longline,621,9101,20105,LINDY,11/10/2020 0:00,621,,NSEI 05,NSEI,1,Random,1,630,4.5,30,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,1,9,Not observed
2020,Commercial Halibut Longline,621,9101,20105,LINDY,11/10/2020 0:00,621,,NSEI 05,NSEI,1,Random,2,640,4.3,30,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,3,Fairly Sure,2,9,Not observed
2020,Commercial Halibut Longline,621,9101,20105,LINDY,11/10/2020 0:00,621,,NSEI 05,NSEI,1,Random,3,840,12,,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,  ,,1,9,Not observed
2020,Commercial Halibut Longline,621,9101,20105,LINDY,11/10/2020 0:00,621,,NSEI 05,NSEI,1,Random,4,620,4,39,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,3,Fairly Sure,2,9,Not observed
2020,Commercial Halibut Longline,621,9101,20105,LINDY,11/10/2020 0:00,621,,NSEI 05,NSEI,1,Random,5,560,3,22,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,3,Fairly Sure,1,9,Not observed
2020,Commercial Halibut Longline,621,9101,20105,LINDY,11/10/2020 0:00,621,,NSEI 05,NSEI,1,Random,6,740,8.2,50,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,2,9,Not observed
2020,Commercial Halibut Longline,621,9101,20105,LINDY,11/10/2020 0:00,621,,NSEI 05,NSEI,1,Random,7,630,4.5,28,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,3,Fairly Sure,1,9,Not observed
2020,Commercial Halibut Longline,621,9101,20105,LINDY,11/10/2020 0:00,621,,NSEI 05,NSEI,1,Random,8,640,5,49,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,3,Fairly Sure,1,9,Not observed
2020,Commercial Halibut Longline,621,9101,20105,LINDY,11/10/2020 0:00,621,,NSEI 05,NSEI,1,Random,9,560,3.5,50,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,2,Comfortably Sure,1,9,Not observed
2020,Commercial Halibut Longline,621,9101,20105,LINDY,11/10/2020 0:00,621,,NSEI 05,NSEI,1,Random,10,730,7.7,,,145,Yelloweye rockfish,1,Tip of snout to fork of tail,  ,,1,9,Not observed
