"","Year","Discards.mt"
"1",1980,31.6428037840626
"2",1981,35.4542915985546
"3",1982,35.0379944758348
"4",1983,47.7428420182881
"5",1984,61.6114776879968
"6",1985,69.0679711111773
"7",1986,103.917067990453
"8",1987,89.9281411142735
"9",1988,115.513917231096
"10",1989,64.3330869944602
"11",1990,98.1904250658802
"12",1991,64.1497517637682
"13",1992,32.7154665291373
"14",1993,23.8538511368251
"15",1994,1
"16",1995,59.8174583904202
"17",1996,127.844344596659
"18",1997,82.8912613942886
"19",1998,151.901750932773
"20",1999,32.5591223017464
"21",2000,17.9434844531699
"22",2001,1
"23",2002,1
"24",2003,1
"25",2004,64.2205764960842
"26",2005,21.9002086444274
"27",2006,16.2502468105524
"28",2007,46.0231412399888
"29",2008,1
"30",2009,28.5174768858901
"31",2010,60.7588143103767
"32",2011,1
"33",2012,1
"34",2013,1
"35",2014,1
"36",2015,1
"37",2016,1
"38",2017,1
"39",2018,5.59902623823356
"40",2019,1
"41",2020,1
"42",2021,1
"43",2022,1
"44",2023,77.4667699360907
