"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"1","r",0.018,0.019,0.001,0.012,0.064,FALSE,1,1.036,411
"2","K",41478.019,12713.718,24955.459,39037.979,74247.909,FALSE,1,1.008,1183
"3","sigma",0.045,0.017,0.017,0.042,0.079,FALSE,1,1.003,709
"4","epsilon[1]",0,0.039,-0.079,0,0.08,TRUE,0.499,1,3000
"5","epsilon[2]",0.001,0.039,-0.079,0,0.079,TRUE,0.504,1,3000
"6","epsilon[3]",0,0.04,-0.082,0,0.081,TRUE,0.504,1,3000
"7","epsilon[4]",0.001,0.04,-0.081,0.001,0.082,TRUE,0.514,1,3000
"8","epsilon[5]",0.001,0.039,-0.078,0.001,0.077,TRUE,0.506,1,2748
"9","epsilon[6]",0.001,0.041,-0.081,0.001,0.084,TRUE,0.509,1,3000
"10","epsilon[7]",-0.001,0.039,-0.08,-0.001,0.077,TRUE,0.51,1.003,1065
"11","epsilon[8]",0.001,0.039,-0.075,0.001,0.082,TRUE,0.514,1.003,674
"12","epsilon[9]",0.001,0.039,-0.078,0.002,0.076,TRUE,0.518,1,3000
"13","epsilon[10]",0.001,0.039,-0.077,0.001,0.079,TRUE,0.515,1,3000
"14","epsilon[11]",0.001,0.039,-0.076,0.001,0.081,TRUE,0.514,1,3000
"15","epsilon[12]",0.001,0.04,-0.08,0.001,0.083,TRUE,0.507,1,3000
"16","epsilon[13]",0.001,0.039,-0.078,0.001,0.08,TRUE,0.507,1,3000
"17","epsilon[14]",0,0.04,-0.08,0.001,0.079,TRUE,0.507,1.001,3000
"18","epsilon[15]",0.001,0.04,-0.082,0.001,0.082,TRUE,0.511,1.001,1733
"19","epsilon[16]",0.001,0.04,-0.078,0.001,0.081,TRUE,0.508,1,3000
"20","epsilon[17]",0.001,0.04,-0.081,0.001,0.081,TRUE,0.509,1.001,3000
"21","epsilon[18]",0,0.04,-0.082,0,0.081,TRUE,0.499,1.001,1295
"22","epsilon[19]",0.001,0.04,-0.08,0.002,0.08,TRUE,0.521,1,3000
"23","epsilon[20]",0.001,0.039,-0.079,0.001,0.08,TRUE,0.509,1.001,2125
"24","epsilon[21]",0.001,0.04,-0.078,0.002,0.082,TRUE,0.517,1.001,3000
"25","epsilon[22]",0.001,0.04,-0.081,0.002,0.081,TRUE,0.514,1.001,3000
"26","epsilon[23]",0.001,0.04,-0.078,0,0.082,TRUE,0.495,1.001,1675
"27","epsilon[24]",0.001,0.04,-0.08,0.002,0.082,TRUE,0.519,1.001,1651
"28","epsilon[25]",0,0.039,-0.08,0,0.078,TRUE,0.505,1,3000
"29","epsilon[26]",0.002,0.04,-0.078,0.002,0.081,TRUE,0.516,1,3000
"30","epsilon[27]",0,0.04,-0.079,0.001,0.081,TRUE,0.507,1,3000
"31","epsilon[28]",0.001,0.039,-0.079,0.001,0.082,TRUE,0.51,1,3000
"32","epsilon[29]",0,0.04,-0.082,0,0.081,TRUE,0.506,1,3000
"33","epsilon[30]",0,0.039,-0.081,-0.001,0.08,TRUE,0.508,1,3000
"34","epsilon[31]",0.001,0.04,-0.082,0.001,0.079,TRUE,0.514,1,3000
"35","epsilon[32]",0.002,0.04,-0.081,0.002,0.081,TRUE,0.524,1,3000
"36","epsilon[33]",0.001,0.039,-0.08,0.001,0.077,TRUE,0.51,1.001,2409
"37","epsilon[34]",0,0.039,-0.08,0.001,0.08,TRUE,0.496,1,3000
"38","epsilon[35]",0.001,0.04,-0.078,0.001,0.082,TRUE,0.511,1,3000
"39","epsilon[36]",0,0.04,-0.081,-0.001,0.08,TRUE,0.507,1.001,1210
"40","epsilon[37]",0.001,0.04,-0.079,0.001,0.082,TRUE,0.509,1,3000
"41","epsilon[38]",0.002,0.04,-0.079,0.002,0.084,TRUE,0.525,1,3000
"42","epsilon[39]",0.001,0.039,-0.077,0.001,0.079,TRUE,0.511,1,3000
"43","epsilon[40]",0.001,0.039,-0.078,0.001,0.081,TRUE,0.509,1,3000
"44","epsilon[41]",0.001,0.039,-0.078,0.001,0.082,TRUE,0.506,1,3000
"45","epsilon[42]",0.001,0.041,-0.082,0.001,0.082,TRUE,0.507,1.001,3000
"46","epsilon[43]",0.001,0.039,-0.081,0.001,0.079,TRUE,0.507,1.001,2457
"47","epsilon[44]",0.002,0.039,-0.077,0.001,0.082,TRUE,0.515,1,3000
"48","epsilon[45]",0.001,0.039,-0.08,0.001,0.082,TRUE,0.506,1.002,3000
"49","epsilon[46]",0,0.041,-0.081,0.001,0.081,TRUE,0.508,1.001,3000
"50","epsilon[47]",0.001,0.04,-0.079,0,0.083,TRUE,0.501,1,3000
"51","epsilon[48]",0.003,0.04,-0.078,0.002,0.084,TRUE,0.523,1.001,2054
"52","epsilon[49]",0.001,0.04,-0.077,0.001,0.082,TRUE,0.508,1.001,2549
"53","epsilon[50]",0.001,0.04,-0.08,0,0.081,TRUE,0.499,1.001,1726
"54","epsilon[51]",0.002,0.04,-0.077,0.002,0.081,TRUE,0.521,1.003,586
"55","epsilon[52]",0.002,0.04,-0.079,0.002,0.082,TRUE,0.521,1,2453
"56","epsilon[53]",0.001,0.039,-0.078,0,0.08,TRUE,0.499,1,3000
"57","epsilon[54]",0,0.04,-0.078,0.001,0.083,TRUE,0.508,1,3000
"58","epsilon[55]",0.002,0.04,-0.079,0.002,0.082,TRUE,0.522,1,3000
"59","epsilon[56]",0.001,0.039,-0.079,0.001,0.08,TRUE,0.518,1.003,595
"60","epsilon[57]",0.001,0.039,-0.08,0,0.08,TRUE,0.501,1,3000
"61","epsilon[58]",0,0.04,-0.083,0.001,0.079,TRUE,0.51,1,3000
"62","epsilon[59]",0.001,0.04,-0.081,0,0.08,TRUE,0.499,1.001,1975
"63","epsilon[60]",0.001,0.04,-0.079,0.001,0.082,TRUE,0.517,1,3000
"64","epsilon[61]",0.001,0.04,-0.08,0.001,0.084,TRUE,0.512,1.001,3000
"65","epsilon[62]",0.002,0.04,-0.078,0.002,0.083,TRUE,0.52,1.001,1719
"66","epsilon[63]",0.002,0.04,-0.08,0.003,0.08,TRUE,0.537,1,3000
"67","epsilon[64]",0,0.039,-0.08,0.001,0.08,TRUE,0.512,1,3000
"68","epsilon[65]",0.002,0.039,-0.077,0.001,0.082,TRUE,0.509,1.002,1596
"69","epsilon[66]",0.002,0.04,-0.078,0.003,0.083,TRUE,0.529,1.001,3000
"70","epsilon[67]",0,0.04,-0.082,0,0.082,TRUE,0.494,1,3000
"71","epsilon[68]",0.001,0.039,-0.078,0.001,0.081,TRUE,0.512,1.001,2522
"72","epsilon[69]",0.002,0.039,-0.079,0.002,0.08,TRUE,0.521,1.001,3000
"73","epsilon[70]",0.001,0.039,-0.078,0.002,0.08,TRUE,0.522,1.001,3000
"74","epsilon[71]",0,0.039,-0.08,0,0.081,TRUE,0.506,1,3000
"75","epsilon[72]",0.001,0.039,-0.08,0.002,0.077,TRUE,0.518,1.001,3000
"76","epsilon[73]",0,0.04,-0.081,0,0.08,TRUE,0.496,1,3000
"77","epsilon[74]",0.002,0.04,-0.08,0.002,0.081,TRUE,0.52,1.001,1189
"78","epsilon[75]",0.002,0.04,-0.08,0.002,0.084,TRUE,0.517,1,3000
"79","epsilon[76]",0.001,0.04,-0.079,0.001,0.081,TRUE,0.507,1.002,904
"80","epsilon[77]",0.002,0.039,-0.078,0.001,0.08,TRUE,0.513,1,3000
"81","epsilon[78]",0.001,0.04,-0.079,0.001,0.081,TRUE,0.511,1,3000
"82","epsilon[79]",0.001,0.04,-0.077,0,0.082,TRUE,0.502,1.001,2225
"83","epsilon[80]",0.002,0.039,-0.077,0.002,0.081,TRUE,0.52,1.002,3000
"84","epsilon[81]",0.002,0.039,-0.078,0.002,0.079,TRUE,0.513,1.001,3000
"85","epsilon[82]",0.002,0.04,-0.08,0.002,0.081,TRUE,0.516,1,2597
"86","epsilon[83]",0.003,0.04,-0.079,0.003,0.083,TRUE,0.524,1.001,3000
"87","epsilon[84]",0.001,0.04,-0.079,0.002,0.08,TRUE,0.523,1,3000
"88","epsilon[85]",0.001,0.04,-0.079,0.001,0.079,TRUE,0.515,1.001,3000
"89","epsilon[86]",0.001,0.04,-0.079,0.002,0.082,TRUE,0.524,1.001,2573
"90","epsilon[87]",0.002,0.04,-0.079,0.002,0.082,TRUE,0.517,1,3000
"91","epsilon[88]",0.002,0.039,-0.079,0.002,0.08,TRUE,0.517,1.001,2888
"92","epsilon[89]",0.001,0.039,-0.076,0,0.08,TRUE,0.505,1.001,3000
"93","epsilon[90]",0.001,0.039,-0.075,0.001,0.082,TRUE,0.505,1,3000
"94","epsilon[91]",0.001,0.04,-0.079,0.001,0.081,TRUE,0.515,1,3000
"95","epsilon[92]",0.002,0.039,-0.079,0.003,0.082,TRUE,0.528,1,3000
"96","epsilon[93]",0.002,0.04,-0.078,0.002,0.082,TRUE,0.522,1,3000
"97","epsilon[94]",0.002,0.039,-0.079,0.003,0.079,TRUE,0.521,1,3000
"98","epsilon[95]",0.002,0.041,-0.081,0.002,0.084,TRUE,0.522,1.002,1599
"99","epsilon[96]",0.002,0.039,-0.078,0.002,0.08,TRUE,0.522,1,3000
"100","epsilon[97]",0.002,0.04,-0.078,0.002,0.084,TRUE,0.522,1.001,3000
"101","epsilon[98]",0.002,0.04,-0.077,0.002,0.081,TRUE,0.524,1,3000
"102","epsilon[99]",0.003,0.039,-0.078,0.003,0.082,TRUE,0.531,1,3000
"103","epsilon[100]",0.002,0.039,-0.075,0.002,0.082,TRUE,0.524,1,2563
"104","epsilon[101]",0.003,0.04,-0.078,0.003,0.083,TRUE,0.535,1.001,3000
"105","epsilon[102]",0.003,0.04,-0.078,0.002,0.083,TRUE,0.516,1,3000
"106","epsilon[103]",0.004,0.039,-0.077,0.003,0.084,TRUE,0.534,1.002,780
"107","epsilon[104]",0.002,0.04,-0.078,0.002,0.084,TRUE,0.519,1.001,1723
"108","epsilon[105]",0.004,0.04,-0.076,0.004,0.083,TRUE,0.539,1.001,1930
