"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff"
"1","r",0.016,0.017,0.001,0.011,0.062,FALSE,1,1.012,992
"2","K",49062.722,15241.148,27247.537,46684.66,84956.689,FALSE,1,1.002,854
"3","sigma",0.046,0.017,0.019,0.044,0.079,FALSE,1,1.001,1868
"4","epsilon[1]",0.002,0.04,-0.08,0.002,0.083,TRUE,0.515,1,3000
"5","epsilon[2]",0.002,0.041,-0.082,0.002,0.082,TRUE,0.523,1.001,2324
"6","epsilon[3]",0,0.04,-0.082,0.001,0.081,TRUE,0.512,1,3000
"7","epsilon[4]",0,0.041,-0.085,0.001,0.082,TRUE,0.505,1,3000
"8","epsilon[5]",0,0.041,-0.082,0,0.082,TRUE,0.497,1,3000
"9","epsilon[6]",0,0.04,-0.081,0,0.079,TRUE,0.496,1.002,789
"10","epsilon[7]",0.001,0.04,-0.081,0.001,0.082,TRUE,0.511,1,3000
"11","epsilon[8]",0.001,0.04,-0.082,0.001,0.08,TRUE,0.509,1,3000
"12","epsilon[9]",0.001,0.04,-0.081,0.001,0.081,TRUE,0.508,1,3000
"13","epsilon[10]",0.001,0.04,-0.079,0.001,0.081,TRUE,0.51,1,3000
"14","epsilon[11]",0.001,0.041,-0.081,0.001,0.084,TRUE,0.508,1,3000
"15","epsilon[12]",0,0.041,-0.083,0.001,0.08,TRUE,0.51,1,3000
"16","epsilon[13]",-0.001,0.04,-0.081,-0.001,0.079,TRUE,0.519,1,3000
"17","epsilon[14]",0.002,0.04,-0.081,0.003,0.082,TRUE,0.525,1,3000
"18","epsilon[15]",0.001,0.041,-0.082,0.002,0.083,TRUE,0.523,1.001,1755
"19","epsilon[16]",0,0.04,-0.08,0,0.079,TRUE,0.503,1,3000
"20","epsilon[17]",0.001,0.041,-0.079,0.001,0.085,TRUE,0.504,1.002,911
"21","epsilon[18]",0.001,0.04,-0.08,0.001,0.081,TRUE,0.515,1.001,2096
"22","epsilon[19]",0,0.04,-0.079,0,0.082,TRUE,0.502,1,3000
"23","epsilon[20]",0,0.04,-0.081,0,0.081,TRUE,0.506,1,3000
"24","epsilon[21]",0.001,0.039,-0.076,0.001,0.079,TRUE,0.509,1.001,2376
"25","epsilon[22]",0.001,0.04,-0.08,0.001,0.084,TRUE,0.512,1,2524
"26","epsilon[23]",0,0.04,-0.077,0.001,0.078,TRUE,0.505,1.001,1527
"27","epsilon[24]",0,0.04,-0.079,0.001,0.08,TRUE,0.51,1,3000
"28","epsilon[25]",0.002,0.04,-0.082,0.002,0.084,TRUE,0.52,1,3000
"29","epsilon[26]",0.001,0.039,-0.075,0.001,0.081,TRUE,0.507,1,3000
"30","epsilon[27]",0.001,0.041,-0.081,0.002,0.083,TRUE,0.521,1,3000
"31","epsilon[28]",0,0.04,-0.081,0,0.082,TRUE,0.504,1,3000
"32","epsilon[29]",0,0.04,-0.08,-0.001,0.081,TRUE,0.512,1,3000
"33","epsilon[30]",0.001,0.04,-0.078,0,0.084,TRUE,0.505,1.001,1703
