"","parameter","mean","sd","2.5%","50%","97.5%","overlap0","f","Rhat","n.eff","cv"
"1471","Bseo[1]",29552.196,4982.867,20377.9,29381.724,40381.431,FALSE,1,1,3000,0.168612410394138
"1472","Bseo[2]",29615.723,4899.204,20683.638,29345.331,40085.612,FALSE,1,1,3000,0.165425777381832
"1473","Bseo[3]",29677.27,4816.433,21019.991,29359.863,39911.238,FALSE,1,1,3000,0.162293667847481
"1474","Bseo[4]",29695.245,4655.976,21104.115,29361.642,39641.872,FALSE,1,1,3000,0.15679197123984
"1475","Bseo[5]",29666.236,4527.275,21317.613,29397.214,39464.366,FALSE,1,1,3000,0.152606990654291
"1476","Bseo[6]",29419.818,4399.497,21512.519,29115.103,38940.17,FALSE,1,1,3000,0.149541951619143
"1477","Bseo[7]",29059.442,4268.33,21333.521,28768.051,38507.08,FALSE,1,1,3000,0.146882724038541
"1478","Bseo[8]",28742.881,4112.566,21366.239,28405.231,37268.098,FALSE,1,1.001,2226,0.143081203307351
"1479","Bseo[9]",28109.178,3992.803,20924.652,27827.138,36750.344,FALSE,1,1.001,2427,0.142046238420775
"1480","Bseo[10]",27539.988,3843.146,20693.589,27234.485,35751.527,FALSE,1,1.001,1710,0.139547845845103
"1481","Bseo[11]",27255.071,3637.763,20732.728,26983.123,34939.493,FALSE,1,1.001,2048,0.133471052047525
"1482","Bseo[12]",26999.1,3416.751,20888.882,26656.639,34378.375,FALSE,1,1.001,2022,0.126550551685056
"1483","Bseo[13]",26606.658,3223.106,20856.184,26315.805,33623.268,FALSE,1,1,3000,0.121139077294112
"1484","Bseo[14]",26263.475,2993.818,20988.711,26036.666,32864.163,FALSE,1,1,2493,0.113991693787665
"1485","Bseo[15]",25849.495,2723.856,20935.923,25695.347,31738.896,FALSE,1,1,3000,0.105373663972933
"1486","Bseo[16]",25651.333,2596.234,20961.619,25544.559,31110.966,FALSE,1,1,3000,0.101212439914916
"1487","Bseo[17]",25561.344,2491.513,20871.186,25455.727,30891.373,FALSE,1,1,3000,0.0974719091453094
"1488","Bseo[18]",25231.981,2384.963,20777.759,25181.906,30123.003,FALSE,1,1,3000,0.0945214329386187
