"","iter","harv_hist","Hmax","r_1","K_1","MSY_t_1","HMSYs_t_1","Bmsy_t_1","Fmsy_t_1","r_2","K_2","MSY_t_2","HMSYs_t_2","Bmsy_t_2","Fmsy_t_2","r_3","K_3","MSY_t_3","HMSYs_t_3","Bmsy_t_3","Fmsy_t_3","true_term_bio1","true_ss1","true_tot_cont1","true_reb_cont1","true_reb_len1","q1","true_term_bio2","true_ss2","true_tot_cont2","true_reb_cont2","true_reb_len2","q2","true_term_bio3","true_ss3","true_tot_cont3","true_reb_cont3","true_reb_len3","q3","obs_tot_bio_cont1","obs_reb_bio_cont1","obs_reb_bio_len1","obs_tot_ind_cont1","obs_reb_ind_cont1","obs_reb_ind_len1","Depl_1","obs_tot_bio_cont2","obs_reb_bio_cont2","obs_reb_bio_len2","obs_tot_ind_cont2","obs_reb_ind_cont2","obs_reb_ind_len2","Depl_2","obs_tot_bio_cont3","obs_reb_bio_cont3","obs_reb_bio_len3","obs_tot_ind_cont3","obs_reb_ind_cont3","obs_reb_ind_len3","Depl_3"
"1",1,"Harv5",3,0.0507636973365341,188840.313348919,3227.32526606689,0.01709023464764,75536.1253395677,0.0427255866190999,0.0502491674836139,185099.734948017,3131.33438676377,0.0169170117269113,74039.8939792067,0.0422925293172782,0.0525704389140411,152601.896901615,2700.8241891083,0.0176984968335588,61040.758760646,0.0442462420838969,133355.012478923,0.706178729075311,1.1315766547663,0.267361149387219,19,6.88215558440425e-05,139201.349949597,0.752034301878875,1.14808103488984,0.596309858600084,16,2.14371966687031e-05,138845.798849176,0.909856310231139,0.75809068083279,0.416707407239305,21,3.45655108452775e-05,1.54791284469718,0.351429602337274,24,1.21354129383117,0.318053155944759,22,0.706178729075311,1.94858019374953,1.42273324746488,23,1.21314691572215,0.449860023183902,21,0.752034301878875,1.2646112008802,1.1132166668389,22,0.864665856887748,0.572584580845267,22,0.909856310231139
"2",2,"Harv5",3,0.0495804195260586,174407.984432764,2911.19528962623,0.0166918693492988,69763.1937731057,0.0417296733732469,0.049489415494191,119346.751179546,1988.46387427414,0.0166612317019227,47738.7004718184,0.0416530792548068,0.0491680335336437,144348.798738793,2389.41063672416,0.0165530344388105,57739.519495517,0.0413825860970262,114705.834695929,0.657686831649319,0.729435011739662,0.137426633414461,22,5.46785741508938e-05,95719.2409043124,0.802026364004762,1.05547363838739,0.269115676918786,17,3.4174007109832e-05,98467.3322189487,0.682148608642951,1.34634401543812,0.600555305528831,13,3.49260794697329e-05,1.62509212326167,0.562765539995288,15,0.700840115284623,0.16407350222848,2,0.657686831649319,1.7836804810942,0.334663651799955,16,1.20004543679159,0.347783699066325,15,0.802026364004762,2.29843013811405,0.644632468392046,14,1.30612093277787,0.384824592568614,24,0.682148608642951
"3",3,"Harv5",3,0.0489762339563391,187387.005984783,3089.72366020997,0.0164884627083527,74954.8023939133,0.0412211567708818,0.0493219050315401,197958.867484704,3287.07476810596,0.0166048372061936,79183.5469938815,0.0415120930154841,0.0488016140554597,103012.807643972,1692.46692273617,0.0164296747311809,41205.1230575889,0.0410741868279523,177125.739261983,0.945240244013326,1.00998927429388,0.856117455477057,23,4.92745026363991e-05,153625.079855198,0.776045457357796,1.19440600442749,0.449971989302821,20,4.89256190136075e-05,85552.6963691726,0.830505432536656,0.764550544012838,0.465468812788173,12,1.83816113765352e-05,1.47158289911814,1.47158289911814,20,1.01416756398513,0.661698014112963,23,0.945240244013326,1.61431627321186,0.790882151299632,24,1.18982857427734,0.384927434105757,24,0.776045457357796,1.64352477295598,0.691422678719288,21,0.984311256467838,0.706884545060885,12,0.830505432536656
"4",4,"Harv5",3,0.0515803277617879,187205.03624063,3250.84606432489,0.0173651635105923,74882.0144962519,0.0434129087764807,0.0499885850172976,187978.019216098,3163.53535369538,0.016829283375194,75191.2076864392,0.0420732084379851,0.0514926549072457,108529.506390914,1881.42924940599,0.017335647345794,43411.8025563657,0.0433391183644851,140886.106448298,0.752576475919192,0.751045336214837,0.259300550519695,22,8.00265297899023e-05,160162.400710405,0.852027281584896,0.766085502916224,0.358208771066121,19,8.1490286057815e-05,67214.3679867743,0.619318839843182,1.02230945948126,0.241842522950945,21,7.42905625281856e-05,1.59664556182221,0.637627593870488,25,0.966490035318272,0.339944501426663,11,0.752576475919192,2.05256665548889,0.818486625795032,3,1.12326776355731,0.322926907135767,16,0.852027281584896,1.40182273292582,0.458118742910339,17,1.21618969303924,0.322379450397272,19,0.619318839843182
"5",5,"Harv5",3,0.0526900724805712,168672.521435656,2992.04356443506,0.0177387729724338,67469.0085742623,0.0443469324310844,0.0515666996090977,136477.335868403,2369.32508277297,0.0173605754222632,54590.9343473613,0.0434014385556581,0.0505248655812926,155368.228210136,2642.78698538671,0.0170098289452869,62147.2912840545,0.0425245723632172,126647.587080648,0.75084895869634,0.966383108826633,0.476456709660549,10,1.20648573082872e-05,112662.929762999,0.825506513928676,1.44685296802693,1.01989306373195,23,4.94868657388724e-05,119648.978371141,0.770099393869092,1.30016112916659,0.771352691372437,21,6.72033562627621e-05,1.23495537973985,0.234940256175416,11,1.04661014234404,0.484459459526717,10,0.75084895869634,1.89118073004275,0.79177898557303,24,1.62400577753483,0.994956443580581,23,0.825506513928676,1.96504559839299,0.844071384992756,23,1.49574248292375,0.937843638230275,21,0.770099393869092
"6",6,"Harv5",3,0.0512135109778178,161276.465607807,2780.67560603241,0.0172416700449926,64510.5862431228,0.0431041751124816,0.0476991546870078,166637.82466203,2675.95650244936,0.0160585179737953,66655.1298648119,0.0401462949344883,0.0505708032753661,165809.724340215,2822.95937881579,0.0170252944454785,66323.8897360861,0.0425632361136963,106356.647416582,0.659467870998739,0.815298772513884,0.197131216736356,36,5.77912459243089e-05,108579.306080127,0.651588595208466,0.891147701644942,0.213971473660007,24,2.02258459711447e-05,115108.991858288,0.694223407682063,0.688729627988104,0.145451848381464,26,1.83221826772206e-05,1.3619929394828,0.255977663057761,26,0.976657225051551,0.275169533609412,9,0.659467870998739,1.49795974882223,0.148476670666839,10,0.931560901921327,0.233652695549576,4,0.651588595208466,1.16243633464942,0.490932934923964,2,0.783363082108103,0.168742121868984,23,0.694223407682063
"7",7,"Harv5",3,0.0494569573706109,154583.250242285,2573.85815127078,0.0166503042680022,61833.3000969142,0.0416257606700055,0.0488422275837961,158907.648269087,2612.97372607048,0.016443347784279,63563.0593076348,0.0411083694606975,0.0514364970551809,113334.077037871,1962.57687002891,0.0173167411013821,45333.6308151484,0.0432918527534553,114635.158863629,0.741575550287344,1.03467141879747,0.431584468920285,16,6.9450374559965e-05,141490.216977473,0.890392743953268,1.0700524978594,0.843159723696344,29,2.29528655624017e-05,104458.648491812,0.921687909073518,1.06183964863643,0.64195838349786,27,9.18060126015917e-05,1.85666638316734,0.721915718549665,10,0.993454360942312,0.358093406832726,17,0.741575550287344,2.63761060876923,1.85788313654407,26,0.999557848859384,0.906068846022948,27,0.890392743953268,1.55979554783282,0.639384640148723,24,1.20359098655409,0.799082849472854,22,0.921687909073518
"8",8,"Harv5",3,0.0500855461664544,146104.371803813,2463.60118755791,0.0168619265607329,58441.7487215251,0.0421548164018323,0.0478135302182354,113825.430930592,1832.25068544306,0.016097023929216,45530.1723722368,0.0402425598230399,0.0493529414922427,113996.790768579,1894.08928392465,0.0166152860194966,45598.7163074315,0.0415382150487416,124342.884870649,0.851055196607088,1.11797802708089,0.802516206246817,28,6.06537244049832e-05,91867.0836761623,0.807087510454325,0.852926433781708,0.348330765312256,20,1.12154572433792e-05,62772.5505033632,0.550651909410291,1.31637724004032,0.259967310410969,25,2.8499680343084e-05,1.64841229105157,0.887370460246169,28,1.1190918119804,0.812054760472685,28,0.851055196607088,1.52181138307925,0.580616007094105,20,0.973483894443988,0.401772851830257,21,0.807087510454325,2.17087260718615,0.546195693573759,23,1.46696419925664,0.346372698711467,20,0.550651909410291
"9",9,"Harv5",3,0.0493782990839881,120388.566190377,2001.31821201194,0.0166238229704235,48155.4264761508,0.0415595574260588,0.0489515384080907,178768.470254727,2946.13096241935,0.0164801486426628,71507.3881018907,0.0412003716066571,0.048900195050291,197350.401384756,3248.95267192022,0.0164628632580586,78940.1605539024,0.0411571581451465,102496.724865011,0.85138255324785,0.564423934087503,0.184891803459419,26,1.13966793124564e-05,124188.978907007,0.694691735796866,1.27086792438701,0.537653290162283,22,5.96752942865714e-05,135860.069461327,0.68842053782527,1.15945720869657,0.371832463909873,26,9.22573187435046e-05,1.89291794188571,0.666253865996457,4,0.871292526929507,0.296890797628444,25,0.85138255324785,1.85480281067817,0.673902063624623,16,1.32049179160471,0.539930930425203,18,0.694691735796866,2.06374704524735,0.510782847972893,22,1.27678205602483,0.311111982860407,23,0.68842053782527
"10",10,"Harv5",3,0.0507452471732854,143479.274632409,2451.20325209842,0.0170840231690489,57391.7098529637,0.0427100579226224,0.0488968000370185,130131.786759011,2142.19307372427,0.0164617202843096,52052.7147036046,0.041154300710774,0.047966750142404,152390.044485219,2460.88699032888,0.0161486073361411,60956.0177940875,0.0403715183403528,111660.626053716,0.778235228326792,0.971596736816416,0.534366036644682,20,4.43337666569278e-05,120413.262618783,0.925317830621766,0.49183094387506,0.285651286267276,24,5.22670281049795e-05,96838.7671664148,0.635466493192131,1.34388546086396,0.489460674259243,24,3.63471130933613e-05,2.21888429536027,0.610138107281662,19,0.978969581503039,0.455082629392026,20,0.778235228326792,1.09107163609489,0.953260901555028,30,0.614203982047151,0.366029280770204,25,0.925317830621766,2.04443035434315,0.971473817004881,28,1.41317831832546,0.514145507993311,23,0.635466493192131
"11",11,"Harv5",3,0.0503307947009142,190399.971790612,3226.23090394429,0.0169444925521957,76159.9887162447,0.0423612313804892,0.0505429209103151,107666.137535125,1832.03703696349,0.0170159074979894,43066.45501405,0.0425397687449734,0.0473019505619963,145566.200255416,2318.11178578797,0.0159247942291584,58226.4801021665,0.039811985572896,174397.633252533,0.915954091864692,0.899143315158648,0.739528090557039,20,2.81545491307043e-05,72309.8249963697,0.671611582358281,0.954862133986894,0.135444667873007,24,3.60390571132302e-05,111327.831583586,0.764791767513648,1.0240267482666,0.449085889518946,24,2.8496789697092e-05,1.49950803117269,1.49950803117269,28,1.15658386664923,1.03912677958251,19,0.915954091864692,1.77765560959103,0.770907609669621,8,1.12649628757192,0.274768621961102,23,0.671611582358281,2.10143311227681,0.88522551897383,25,1.18961091105405,0.482986792597826,27,0.764791767513648
"12",12,"Harv5",3,0.0493962891441543,198786.951834336,3305.80306502679,0.0166298795495479,79514.7807337344,0.0415746988738697,0.0476650988586222,108307.265699841,1738.01239533765,0.0160470526525369,43322.9062799364,0.0401176316313423,0.0505434333877607,193302.560644224,3289.25184191473,0.0170160800299415,77321.0242576897,0.0425402000748537,205721.72357689,1.03488544735237,0.576806470315457,0.527544020343078,16,5.15563017455861e-05,65836.3845350919,0.607866740146026,0.87121431195693,0.126058126355441,24,5.21643448038958e-05,146424.194512054,0.757487091862944,0.768999093516019,0.339993978855634,21,8.69259658968076e-05,1.52219029179368,1.43907575137296,10,0.86220385689797,0.634194160806621,32,1.03488544735237,1.46567343600868,0.46970995261217,23,0.941946173204642,0.14633902079276,24,0.607866740146026,1.06599855067169,0.622404801929077,15,1.00434928616088,0.370430366781172,21,0.757487091862944
"13",13,"Harv5",3,0.0512196052794044,193784.641171806,3341.56843527208,0.0172437217679678,77513.8564687222,0.0431093044199194,0.0531366163159634,123533.170763403,2209.89817761483,0.0178891075486707,49413.2683053613,0.0447227688716768,0.0520255315741837,118244.514730759,2071.05822724298,0.0175150469513005,47297.8058923036,0.0437876173782512,158321.685792494,0.816998111073874,1.7055482981669,1.2104278490215,22,8.43471567309462e-05,92229.497055327,0.746597019127514,1.04217813117449,0.439077680204429,25,4.50480602076277e-05,72324.4129919462,0.611651315552589,1.78144003815891,0.610951294416241,15,9.63166255201213e-05,2.46796965937983,1.59993472388819,22,2.18081276183379,1.30987224287026,22,0.816998111073874,2.14078420763039,0.722210733559928,10,1.14875556518386,0.533495529208969,25,0.746597019127514,3.5683450885055,0.978175232846988,15,1.74355114957629,0.477268598488165,16,0.611651315552589
"14",14,"Harv5",3,0.0508224163231217,186312.302434817,3187.8040778309,0.0171100031300734,74524.9209739268,0.0427750078251835,0.0490257301989183,117842.791229486,1945.01014553732,0.0165051262384784,47137.1164917946,0.0412628155961959,0.0500664585937221,113025.694200769,1905.10464401237,0.0168555004902541,45210.2776803076,0.0421387512256353,168087.457985162,0.902181207512955,0.373527333884606,0.191461707067382,24,9.11948765791021e-05,86517.9971240828,0.734181499109251,0.904029706070583,0.287164648541835,23,6.96743394318037e-05,81011.2223420673,0.716750495671949,1.28080402389277,0.634767414655715,26,7.26429867860861e-05,1.09786769630182,0.406612545645937,14,0.470956979893261,0.257251242881445,23,0.902181207512955,1.73138219881595,0.319726918273127,3,0.822694542727757,0.372113311281371,18,0.734181499109251,2.54178320182037,1.46570081088456,25,1.68930989772676,0.881897658214841,26,0.716750495671949
"15",15,"Harv5",3,0.048810706906741,159391.629742458,2619.24056475186,0.0164327359534749,63756.6518969834,0.0410818398836874,0.0512476324113154,139197.532669641,2401.59694822315,0.0172531574530339,55679.0130678564,0.0431328936325847,0.0483428676842306,162041.945708916,2637.27026312362,0.0162752320183879,64816.7782835662,0.0406880800459697,121304.327302748,0.761045780752406,0.933343443914627,0.357806195264839,23,3.5379214102868e-05,90746.9155600496,0.651929052330405,1.17719233946172,0.419374938606292,19,4.03931307187304e-05,149363.718353783,0.921759595642557,1.1324242971057,0.963640688063016,21,5.55830243765377e-05,2.17948718239566,0.486843243112674,20,1.02015587862708,0.491807099691133,21,0.761045780752406,2.00124954879125,0.825135612155066,23,1.31208536730387,0.447428160777756,12,0.651929052330405,1.94287665593007,1.46690584343354,21,1.19962642590478,0.963621868073192,21,0.921759595642557
