OBJECTID,Shape_Length,Dive
1,991.2631965,1
2,1002.577994,2
3,1020.255326,3
4,630.5478674,4
5,1029.780095,5
6,1026.386187,6
7,1019.779728,7
8,1012.037005,8
9,1010.416517,9
10,1012.10612,10
11,1033.596156,11
12,1024.296796,12
13,1098.066479,13
14,1035.234523,14
15,1020.298208,15
16,1022.431956,16
17,1012.538459,17
18,1037.034309,18
19,1019.824002,19
20,1039.530835,20
21,1009.301141,21
22,1011.203781,22
23,1016.596117,23
24,1014.976373,24
25,1023.786759,25
26,1027.041529,26
27,1019.116682,27
28,1011.232188,28
29,1007.847938,29
30,1013.541169,30
