"","Full.Model.Code","Key.function","Formula","CvM_pvalue","P_a.hat","se.P_a.hat","Delta.AIC","Model","Det.Prob","Nhat","Nhat.se","Nhat.cv","Nhat.lcl","Nhat.ucl","Dhat","Dhat.se","Dhat.cv","Dhat.lcl","Dhat.ucl"
"17","\texttt{YE.unif.tr5.poly}","Uniform with simple polynomial adjustment term of order 2",NA,0.959784726562125,0.823944384637302,0.0375243330018447,0,"YE.unif.tr5.poly",0.823944384637302,2067155.20542663,294058.849954073,0.142252913173679,1552762.30172725,2751954.13912942,1957.53333847219,278.464820032266,0.142252913173679,1470.41884633262,2606.01717720589
"16","\texttt{YE.unif.tr5.herm}","Uniform with Hermite polynomial adjustment term of order 4",NA,0.944792443156381,0.815754697630518,0.0394890177891497,0.0763375446230157,"YE.unif.tr5.herm",0.815754697630518,2087908.20161049,298980.284081673,0.14319608680643,1565772.74117242,2784159.24847953,1977.18579697963,283.125269016736,0.14319608680643,1482.73933823146,2636.51443984804
"1","\texttt{YE.hn.tr5}","Half-normal","~1",0.935525301197666,0.811684299486858,0.0453184441976806,0.192390812344001,"YE.hn.tr5",0.811684299486858,2098378.55033269,306097.7527915,0.145873466321398,1566251.536216,2811293.35785635,1987.10089993626,289.865296204072,0.145873466321398,1483.19274262878,2662.20961918215
"15","\texttt{YE.unif.tr5.cos}","Uniform with cosine adjustment term of order 1",NA,0.8071805331046,0.790030900581839,0.0484233338932105,1.45351010311697,"YE.unif.tr5.cos",0.790030900581839,2155891.52580065,319178.384084285,0.148049370881844,1603007.94050113,2899466.77966302,2041.56394488698,302.252257655573,0.148049370881844,1517.99994365637,2745.70717771119
"6","\texttt{YE.hn.tr5.Stage}","Half-normal","~Stage",0.938693138310842,0.811643005648586,0.0453288356787889,2.15716278148,"YE.hn.tr5.Stage",0.811643005648586,2098485.30922039,306078.288738046,0.145856769829738,1566386.35340176,2811337.43501424,1987.2019973678,289.846864335271,0.145856769829738,1483.32041041833,2662.251358915
"5","\texttt{YE.hn.tr5.Depth}","Half-normal","~Depth",0.933298085230482,0.811671257801263,0.045327631607557,2.18774479410399,"YE.hn.tr5.Depth",0.811671257801263,2098412.26643764,306318.300029084,0.145976224466655,1565953.03983713,2811919.59651226,1987.13282806595,290.074147754814,0.145976224466655,1482.91007560334,2662.80264821237
"8","\texttt{YE.hr.tr5}","Hazard-rate","~1",0.824305668303805,0.877101474813645,0.0420479431364761,2.31994172407099,"YE.hr.tr5",0.877101474813645,1941874.42684088,277762.718261648,0.143038455227779,1456659.43397303,2588715.11190063,1838.89623753872,263.032877141713,0.143038455227779,1379.4123427775,2451.43476505741
"7","\texttt{YE.hn.tr5.Depth.Stage}","Half-normal","~Depth + Stage",0.93696905721986,0.811657003293715,0.0453400579230495,4.15092577122402,"YE.hn.tr5.Depth.Stage",0.811657003293715,2098449.11923799,306326.164526969,0.145977408610319,1565979.11141865,2811971.54797389,1987.16772655112,290.081595195993,0.145977408610319,1482.934764601,2662.85184467225
"12","\texttt{YE.hr.tr5.Depth}","Hazard-rate","~Depth",0.79501306865717,0.879765212870418,0.0410022809697679,4.29305752862899,"YE.hr.tr5.Depth",0.879765212870418,1935994.85268112,276510.915384091,0.142826265783277,1452695.08183193,2580084.50395611,1833.32845897834,261.847457750086,0.142826265783277,1375.65822143175,2443.26184086753
"13","\texttt{YE.hr.tr5.Stage}","Hazard-rate","~Stage",0.805361519423438,0.879299124453663,0.0411569082718134,4.30979770674503,"YE.hr.tr5.Stage",0.879299124453663,1937021.06179545,276322.712435952,0.142653437221702,1453999.06259613,2580504.1353602,1834.30024791236,261.669235261318,0.142653437221702,1376.89305170088,2443.6592190911
"14","\texttt{YE.hr.tr5.Depth.Stage}","Hazard-rate","~Depth + Stage",0.779477234841079,0.881408708549876,0.040332225970203,6.28123008579803,"YE.hr.tr5.Depth.Stage",0.881408708549876,1932384.95054949,275441.251303902,0.142539534488497,1450716.0837095,2573978.2160283,1829.90999105065,260.83451828021,0.142539534488497,1373.78417017945,2437.47937123892
